scenario_id,method,anchor_count,tag_count,requested_update_rate_hz,frames_per_fix,frame_duration_s,guard_duration_s,scheduling_model,frames_per_second_offered,airtime_fraction,scheduled_occupancy,overloaded,collision_probability,packet_delivery_probability,requested_fixes_per_second,achievable_fixes_per_second,achieved_per_tag_update_rate_hz,max_supported_tags,energy_per_valid_fix_j
scenario-000070,DS_TWR,8,10,1.0,24,0.001,0.0002,scheduled,240.0,0.28800000000000003,0.28800000000000003,False,,,10.0,10.0,1.0,34,
scenario-000071,DS_TWR,8,10,5.0,24,0.001,0.0002,scheduled,1200.0,1.4400000000000002,1.4400000000000002,True,,,50.0,34.72222222222222,3.4722222222222223,6,
scenario-000072,TDOA,8,1,1.0,1,0.001,0.0002,scheduled,1.0,0.0012000000000000001,0.0012000000000000001,False,,,1.0,1.0,1.0,833,
scenario-000073,TDOA,8,1,5.0,1,0.001,0.0002,scheduled,5.0,0.006,0.006,False,,,5.0,5.0,5.0,166,
scenario-000074,TDOA,8,10,1.0,1,0.001,0.0002,scheduled,10.0,0.012,0.012,False,,,10.0,10.0,1.0,833,
scenario-000075,TDOA,8,10,5.0,1,0.001,0.0002,scheduled,50.0,0.060000000000000005,0.060000000000000005,False,,,50.0,50.0,5.0,166,
scenario-000076,SS_TWR,8,1,1.0,16,0.001,0.0002,scheduled,16.0,0.019200000000000002,0.019200000000000002,False,,,1.0,1.0,1.0,52,
scenario-000077,SS_TWR,8,1,5.0,16,0.001,0.0002,scheduled,80.0,0.096,0.096,False,,,5.0,5.0,5.0,10,
scenario-000078,SS_TWR,8,10,1.0,16,0.001,0.0002,scheduled,160.0,0.192,0.192,False,,,10.0,10.0,1.0,52,
scenario-000079,SS_TWR,8,10,5.0,16,0.001,0.0002,scheduled,800.0,0.9600000000000001,0.9600000000000001,False,,,50.0,50.0,5.0,10,
scenario-000080,SS_TWR,8,1,1.0,16,0.001,0.0002,scheduled,16.0,0.019200000000000002,0.019200000000000002,False,,,1.0,1.0,1.0,52,
scenario-000081,SS_TWR,8,1,5.0,16,0.001,0.0002,scheduled,80.0,0.096,0.096,False,,,5.0,5.0,5.0,10,
scenario-000082,SS_TWR,8,10,1.0,16,0.001,0.0002,scheduled,160.0,0.192,0.192,False,,,10.0,10.0,1.0,52,
scenario-000083,SS_TWR,8,10,5.0,16,0.001,0.0002,scheduled,800.0,0.9600000000000001,0.9600000000000001,False,,,50.0,50.0,5.0,10,
scenario-000084,DS_TWR,8,1,1.0,24,0.001,0.0002,scheduled,24.0,0.028800000000000003,0.028800000000000003,False,,,1.0,1.0,1.0,34,
scenario-000085,DS_TWR,8,1,5.0,24,0.001,0.0002,scheduled,120.0,0.14400000000000002,0.14400000000000002,False,,,5.0,5.0,5.0,6,
scenario-000086,DS_TWR,8,10,1.0,24,0.001,0.0002,scheduled,240.0,0.28800000000000003,0.28800000000000003,False,,,10.0,10.0,1.0,34,
scenario-000087,DS_TWR,8,10,5.0,24,0.001,0.0002,scheduled,1200.0,1.4400000000000002,1.4400000000000002,True,,,50.0,34.72222222222222,3.4722222222222223,6,
scenario-000088,TDOA,8,1,1.0,1,0.001,0.0002,scheduled,1.0,0.0012000000000000001,0.0012000000000000001,False,,,1.0,1.0,1.0,833,
scenario-000089,TDOA,8,1,5.0,1,0.001,0.0002,scheduled,5.0,0.006,0.006,False,,,5.0,5.0,5.0,166,
scenario-000090,TDOA,8,10,1.0,1,0.001,0.0002,scheduled,10.0,0.012,0.012,False,,,10.0,10.0,1.0,833,
scenario-000091,TDOA,8,10,5.0,1,0.001,0.0002,scheduled,50.0,0.060000000000000005,0.060000000000000005,False,,,50.0,50.0,5.0,166,
scenario-000092,SS_TWR,8,1,1.0,16,0.001,0.0002,scheduled,16.0,0.019200000000000002,0.019200000000000002,False,,,1.0,1.0,1.0,52,
scenario-000093,SS_TWR,8,1,5.0,16,0.001,0.0002,scheduled,80.0,0.096,0.096,False,,,5.0,5.0,5.0,10,
scenario-000094,SS_TWR,8,10,1.0,16,0.001,0.0002,scheduled,160.0,0.192,0.192,False,,,10.0,10.0,1.0,52,
scenario-000095,SS_TWR,8,10,5.0,16,0.001,0.0002,scheduled,800.0,0.9600000000000001,0.9600000000000001,False,,,50.0,50.0,5.0,10,
