scenario_id,anchor_count,volume_m3,radius_m,anchor_density_3d_per_m3,expected_anchors_in_range,planning_approximation
scenario-000054,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000055,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000056,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000057,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000058,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000059,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000060,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000061,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000062,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000063,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000064,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000065,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000066,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000067,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000068,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000069,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000070,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000071,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000072,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000073,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000074,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000075,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000076,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000077,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000078,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000079,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000080,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000081,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000082,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000083,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000084,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000085,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000086,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000087,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000088,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000089,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000090,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000091,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000092,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000093,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000094,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
scenario-000095,8,2400.0,10.0,0.0033333333333333335,13.962634015954636,True
