scenario_id,method,path_id,path_type,sample_count,path_3d_length_m,horizontal_path_length_m,vertical_travel_m,duration_s,mean_speed_m_s,max_speed_m_s,vertical_speed_m_s,horizontal_rmse_m,vertical_rmse_m,error_3d_rmse_m,error_3d_p95_m,cross_track_rmse_m,along_track_rmse_m,dropouts,longest_outage
scenario-000068,UWB_DS_TWR,scenario-000068-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.1924215045766016,0.2681788054819899,0.33006954893366053,0.6113123106160281,0.30803686105899086,0.11857149472868267,0,0
scenario-000069,UWB_DS_TWR,scenario-000069-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.1924215045766016,0.2681788054819899,0.33006954893366053,0.6113123106160281,0.30803686105899086,0.11857149472868267,0,0
scenario-000070,UWB_DS_TWR,scenario-000070-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.1924215045766016,0.2681788054819899,0.33006954893366053,0.6113123106160281,0.30803686105899086,0.11857149472868267,0,0
scenario-000071,UWB_DS_TWR,scenario-000071-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.1924215045766016,0.2681788054819899,0.33006954893366053,0.6113123106160281,0.30803686105899086,0.11857149472868267,0,0
scenario-000072,TDOA,scenario-000072-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.20902187294207247,0.30379174763421113,0.3687540769928654,0.6915845869488576,0.3367237635731353,0.15032190906186416,0,0
scenario-000073,TDOA,scenario-000073-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.20902187294207247,0.30379174763421113,0.3687540769928654,0.6915845869488576,0.3367237635731353,0.15032190906186416,0,0
scenario-000074,TDOA,scenario-000074-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.20902187294207247,0.30379174763421113,0.3687540769928654,0.6915845869488576,0.3367237635731353,0.15032190906186416,0,0
scenario-000075,TDOA,scenario-000075-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.20902187294207247,0.30379174763421113,0.3687540769928654,0.6915845869488576,0.3367237635731353,0.15032190906186416,0,0
scenario-000076,SX1280_RANGING,scenario-000076-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.1924215045766016,0.2681788054819899,0.33006954893366053,0.6113123106160281,0.30803686105899086,0.11857149472868267,0,0
scenario-000077,SX1280_RANGING,scenario-000077-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.1924215045766016,0.2681788054819899,0.33006954893366053,0.6113123106160281,0.30803686105899086,0.11857149472868267,0,0
scenario-000078,SX1280_RANGING,scenario-000078-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.1924215045766016,0.2681788054819899,0.33006954893366053,0.6113123106160281,0.30803686105899086,0.11857149472868267,0,0
scenario-000079,SX1280_RANGING,scenario-000079-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.1924215045766016,0.2681788054819899,0.33006954893366053,0.6113123106160281,0.30803686105899086,0.11857149472868267,0,0
scenario-000080,UWB_SS_TWR,scenario-000080-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,3.0818738182954326,7.0149070332263985,7.662040649637932,10.864421763985797,7.426220899883739,1.8862953275757315,0,0
scenario-000081,UWB_SS_TWR,scenario-000081-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,3.0818738182954326,7.0149070332263985,7.662040649637932,10.864421763985797,7.426220899883739,1.8862953275757315,0,0
scenario-000082,UWB_SS_TWR,scenario-000082-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,3.0818738182954326,7.0149070332263985,7.662040649637932,10.864421763985797,7.426220899883739,1.8862953275757315,0,0
scenario-000083,UWB_SS_TWR,scenario-000083-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,3.0818738182954326,7.0149070332263985,7.662040649637932,10.864421763985797,7.426220899883739,1.8862953275757315,0,0
scenario-000084,UWB_DS_TWR,scenario-000084-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,3.0818738182954326,7.0149070332263985,7.662040649637932,10.864421763985797,7.426220899883739,1.8862953275757315,0,0
scenario-000085,UWB_DS_TWR,scenario-000085-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,3.0818738182954326,7.0149070332263985,7.662040649637932,10.864421763985797,7.426220899883739,1.8862953275757315,0,0
