scenario_id,method,geometry_valid_fraction,jacobian_rank,geometry_valid,failure_reason,redundant,reference_count,condition_number,hull_contains_tag,crlb_crlb_x_m,crlb_crlb_y_m,crlb_crlb_z_m
scenario-000033,UWB_SS_TWR,1.0,3,True,,True,5,3.743972556046877,True,0.15789707716491053,0.1578970771649105,0.43349782119445224
scenario-000034,UWB_SS_TWR,1.0,3,True,,True,5,3.743972556046877,True,0.15789707716491053,0.1578970771649105,0.43349782119445224
scenario-000035,UWB_SS_TWR,1.0,3,True,,True,5,3.743972556046877,True,0.15789707716491053,0.1578970771649105,0.43349782119445224
scenario-000036,UWB_DS_TWR,1.0,3,True,,True,5,3.743972556046877,True,0.15789707716491053,0.1578970771649105,0.43349782119445224
scenario-000037,UWB_DS_TWR,1.0,3,True,,True,5,3.743972556046877,True,0.15789707716491053,0.1578970771649105,0.43349782119445224
scenario-000038,UWB_DS_TWR,1.0,3,True,,True,5,3.743972556046877,True,0.15789707716491053,0.1578970771649105,0.43349782119445224
scenario-000039,UWB_DS_TWR,1.0,3,True,,True,5,3.743972556046877,True,0.15789707716491053,0.1578970771649105,0.43349782119445224
scenario-000040,TDOA,1.0,3,True,,True,5,8.159623589535645,,0.17658721756515408,0.1765872175651541,0.4931706942895472
scenario-000041,TDOA,1.0,3,True,,True,5,8.159623589535645,,0.17658721756515408,0.1765872175651541,0.4931706942895472
scenario-000042,TDOA,1.0,3,True,,True,5,8.159623589535645,,0.17658721756515408,0.1765872175651541,0.4931706942895472
scenario-000043,TDOA,1.0,3,True,,True,5,8.159623589535645,,0.17658721756515408,0.1765872175651541,0.4931706942895472
scenario-000044,SX1280_RANGING,1.0,3,True,,True,5,3.743972556046877,True,0.15789707716491053,0.1578970771649105,0.43349782119445224
scenario-000045,SX1280_RANGING,1.0,3,True,,True,5,3.743972556046877,True,0.15789707716491053,0.1578970771649105,0.43349782119445224
scenario-000046,SX1280_RANGING,1.0,3,True,,True,5,3.743972556046877,True,0.15789707716491053,0.1578970771649105,0.43349782119445224
scenario-000047,SX1280_RANGING,1.0,3,True,,True,5,3.743972556046877,True,0.15789707716491053,0.1578970771649105,0.43349782119445224
scenario-000048,UWB_SS_TWR,1.0,3,True,,True,5,3.743972556046877,True,2.2031499072722465,2.2031499072722465,6.048628015892883
scenario-000049,UWB_SS_TWR,1.0,3,True,,True,5,3.743972556046877,True,2.2031499072722465,2.2031499072722465,6.048628015892883
scenario-000050,UWB_SS_TWR,1.0,3,True,,True,5,3.743972556046877,True,2.2031499072722465,2.2031499072722465,6.048628015892883
scenario-000051,UWB_SS_TWR,1.0,3,True,,True,5,3.743972556046877,True,2.2031499072722465,2.2031499072722465,6.048628015892883
scenario-000052,UWB_DS_TWR,1.0,3,True,,True,5,3.743972556046877,True,2.2031499072722465,2.2031499072722465,6.048628015892883
scenario-000053,UWB_DS_TWR,1.0,3,True,,True,5,3.743972556046877,True,2.2031499072722465,2.2031499072722465,6.048628015892883
scenario-000054,UWB_DS_TWR,1.0,3,True,,True,5,3.743972556046877,True,2.2031499072722465,2.2031499072722465,6.048628015892883
scenario-000055,UWB_DS_TWR,1.0,3,True,,True,5,3.743972556046877,True,2.2031499072722465,2.2031499072722465,6.048628015892883
scenario-000056,TDOA,1.0,3,True,,True,5,8.159623589535645,,2.4639348554742693,2.463934855474269,6.8812481453258
scenario-000057,TDOA,1.0,3,True,,True,5,8.159623589535645,,2.4639348554742693,2.463934855474269,6.8812481453258
scenario-000058,TDOA,1.0,3,True,,True,5,8.159623589535645,,2.4639348554742693,2.463934855474269,6.8812481453258
scenario-000059,TDOA,1.0,3,True,,True,5,8.159623589535645,,2.4639348554742693,2.463934855474269,6.8812481453258
scenario-000060,SX1280_RANGING,1.0,3,True,,True,5,3.743972556046877,True,2.2031499072722465,2.2031499072722465,6.048628015892883
scenario-000061,SX1280_RANGING,1.0,3,True,,True,5,3.743972556046877,True,2.2031499072722465,2.2031499072722465,6.048628015892883
scenario-000062,SX1280_RANGING,1.0,3,True,,True,5,3.743972556046877,True,2.2031499072722465,2.2031499072722465,6.048628015892883
scenario-000063,SX1280_RANGING,1.0,3,True,,True,5,3.743972556046877,True,2.2031499072722465,2.2031499072722465,6.048628015892883
scenario-000064,UWB_SS_TWR,1.0,3,True,,True,8,2.631309345862642,True,0.11777393445777136,0.12239069556638717,0.2524860847230094
scenario-000065,UWB_SS_TWR,1.0,3,True,,True,8,2.631309345862642,True,0.11777393445777136,0.12239069556638717,0.2524860847230094
scenario-000066,UWB_SS_TWR,1.0,3,True,,True,8,2.631309345862642,True,0.11777393445777136,0.12239069556638717,0.2524860847230094
scenario-000067,UWB_SS_TWR,1.0,3,True,,True,8,2.631309345862642,True,0.11777393445777136,0.12239069556638717,0.2524860847230094
