case,radio,condition,bandwidth_hz,snr_db,true_range_m,trials,mean_error_m,median_error_m,std_error_m,p95_abs_error_m,max_abs_error_m,std_ci_lo_m,std_ci_hi_m,std_at_quarter_m,std_at_half_m
sx1280_203k_los,SX1280,LOS,203000,-6.0,250.0,300,0.578749,0.054866,14.533087,27.933586,47.146169,13.292118,15.693271,13.720013,14.668042
sx1280_203k_los,SX1280,LOS,203000,-6.0,3000.0,300,-0.873902,-1.397309,13.618159,26.533801,40.066262,12.598405,14.732633,13.244770,13.115090
sx1280_203k_los,SX1280,LOS,203000,-6.0,400.0,300,-0.902894,-0.412572,14.004575,25.336701,51.525759,12.785604,15.191337,12.259078,13.174183
sx1280_203k_los,SX1280,LOS,203000,-6.0,50.0,300,-0.952472,-1.307184,14.150170,26.575474,43.078212,13.078341,15.107014,14.431403,14.077396
sx1280_203k_los,SX1280,LOS,203000,0.0,1000.0,300,0.108198,-0.094328,7.597095,14.730222,19.972486,7.003099,8.202770,6.998987,7.112100
sx1280_203k_los,SX1280,LOS,203000,0.0,250.0,300,0.262816,0.732264,7.244387,13.752733,21.633408,6.700170,7.840299,7.994654,7.404066
sx1280_203k_los,SX1280,LOS,203000,0.0,3000.0,300,-0.452119,-1.065267,6.847430,12.375703,22.341897,6.307791,7.391944,6.304271,6.619526
sx1280_203k_los,SX1280,LOS,203000,0.0,400.0,300,0.172516,0.091819,7.127541,13.386211,18.284252,6.624839,7.580152,6.955573,7.205701
sx1280_203k_los,SX1280,LOS,203000,0.0,50.0,300,-0.118815,0.364912,7.218549,14.178865,20.883114,6.635959,7.771409,7.011521,7.317121
sx1280_203k_los,SX1280,LOS,203000,12.0,1000.0,300,-0.311747,-0.251661,1.839198,3.464428,5.967732,1.710245,1.972466,1.851736,1.835025
sx1280_203k_los,SX1280,LOS,203000,12.0,250.0,300,-0.140957,-0.365262,1.830313,3.625020,5.949522,1.673749,1.970454,1.670883,1.800430
sx1280_203k_los,SX1280,LOS,203000,12.0,3000.0,300,-0.242385,-0.388467,1.787124,3.453772,5.102560,1.639980,1.930418,1.726113,1.677489
sx1280_203k_los,SX1280,LOS,203000,12.0,400.0,300,-0.184277,-0.217310,1.695604,3.260033,5.494987,1.557334,1.841997,1.757995,1.740718
sx1280_203k_los,SX1280,LOS,203000,12.0,50.0,300,-0.169318,-0.177179,1.753985,3.553312,4.924736,1.610402,1.901963,1.631253,1.632144
sx1280_203k_los,SX1280,LOS,203000,18.0,1000.0,300,-0.143801,-0.181578,0.907479,1.744004,3.045521,0.839510,0.970997,0.832455,0.919562
sx1280_203k_los,SX1280,LOS,203000,18.0,250.0,300,-0.336621,-0.387537,0.918020,1.803112,2.530720,0.848489,0.992223,0.925098,0.921065
sx1280_203k_los,SX1280,LOS,203000,18.0,3000.0,300,-0.265083,-0.293952,0.874554,1.766978,2.985887,0.802929,0.939820,0.909200,0.910057
sx1280_203k_los,SX1280,LOS,203000,18.0,400.0,300,-0.213519,-0.342748,0.931277,1.888530,3.155945,0.861161,1.002915,0.928062,0.892732
sx1280_203k_los,SX1280,LOS,203000,18.0,50.0,300,-0.340008,-0.327825,0.897869,1.907750,2.835451,0.827703,0.966857,0.890073,0.871853
sx1280_203k_los,SX1280,LOS,203000,25.0,1000.0,300,-0.265597,-0.264003,0.399877,0.936226,1.345141,0.366932,0.430562,0.405370,0.395485
sx1280_203k_los,SX1280,LOS,203000,25.0,250.0,300,-0.305988,-0.277696,0.376902,1.008273,1.382330,0.347228,0.409512,0.397800,0.399718
sx1280_203k_los,SX1280,LOS,203000,25.0,3000.0,300,-0.317619,-0.313129,0.407854,0.964808,1.206440,0.378491,0.438959,0.407010,0.396857
sx1280_203k_los,SX1280,LOS,203000,25.0,400.0,300,-0.214731,-0.188838,0.391539,0.897903,1.264440,0.359702,0.419460,0.370288,0.368773
sx1280_203k_los,SX1280,LOS,203000,25.0,50.0,300,-0.346922,-0.338810,0.384058,0.916615,1.608694,0.355166,0.415037,0.377002,0.393546
sx1280_203k_los,SX1280,LOS,203000,6.0,1000.0,300,-0.324579,-0.296912,3.616074,7.160053,11.411356,3.305061,3.918998,3.460377,3.700885
sx1280_203k_los,SX1280,LOS,203000,6.0,250.0,300,-0.160760,-0.346991,3.464128,6.897166,10.620452,3.174054,3.735719,3.405836,3.417454
sx1280_203k_los,SX1280,LOS,203000,6.0,3000.0,300,-0.455406,-0.550289,3.777615,6.643165,10.379111,3.489053,4.035693,3.236944,3.402097
sx1280_203k_los,SX1280,LOS,203000,6.0,400.0,300,-0.502764,-0.734004,3.611790,6.972452,9.809208,3.361959,3.856921,3.674781,3.677343
sx1280_203k_los,SX1280,LOS,203000,6.0,50.0,300,-0.469103,-0.399318,3.688094,7.308130,11.805950,3.359609,4.015399,4.133943,3.769248
sx1280_203k_nlos,SX1280,NLOS,203000,-12.0,1000.0,1200,-0.789545,-1.931300,28.720019,56.078102,107.505543,27.602687,30.029984,30.402968,29.280503
sx1280_203k_nlos,SX1280,NLOS,203000,-12.0,250.0,1200,-0.373302,-0.656235,29.091462,56.659354,118.595187,27.896373,30.256318,29.705249,29.272240
sx1280_203k_nlos,SX1280,NLOS,203000,-12.0,3000.0,1200,-0.169557,-0.075040,29.398021,57.337217,90.229411,28.135542,30.541894,30.485498,29.963643
sx1280_203k_nlos,SX1280,NLOS,203000,-12.0,400.0,1200,1.013110,1.127359,27.573063,53.956046,93.487959,26.497946,28.637981,27.076539,27.893530
sx1280_203k_nlos,SX1280,NLOS,203000,-12.0,50.0,1200,-0.308874,-0.256490,27.906364,55.115807,91.515718,26.845222,29.076305,27.235343,27.591815
sx1280_203k_nlos,SX1280,NLOS,203000,-20.0,1000.0,1200,2.308030,2.449820,73.259373,142.912650,263.260481,70.197939,76.381625,69.405861,73.461805
sx1280_203k_nlos,SX1280,NLOS,203000,-20.0,250.0,1200,-2.893392,-2.384039,72.800673,149.187366,232.083038,69.850613,75.503395,72.481368,72.029688
sx1280_203k_nlos,SX1280,NLOS,203000,-20.0,3000.0,1200,-2.287457,-4.570460,73.200054,146.307035,274.199744,70.401179,76.069512,78.159179,77.084933
sx1280_203k_nlos,SX1280,NLOS,203000,-20.0,400.0,1200,-0.192061,0.397958,68.452231,132.485997,240.703236,65.567237,71.103690,68.944531,67.430981
sx1280_203k_nlos,SX1280,NLOS,203000,-20.0,50.0,1200,-2.642268,-2.093587,70.821693,138.603711,259.887539,68.114043,73.350507,70.402387,68.382030
sx1280_203k_nlos,SX1280,NLOS,203000,-6.0,1000.0,1200,-0.498371,-0.431802,14.173386,27.423080,57.648734,13.609490,14.731637,14.472094,14.528776
sx1280_203k_nlos,SX1280,NLOS,203000,-6.0,250.0,1200,-0.559518,-0.837728,14.483053,28.306830,49.296193,13.912450,15.056128,15.210789,14.841269
sx1280_203k_nlos,SX1280,NLOS,203000,-6.0,3000.0,1200,-0.537360,-0.650921,13.737637,27.085074,39.967409,13.185671,14.235883,14.064560,13.740413
sx1280_203k_nlos,SX1280,NLOS,203000,-6.0,400.0,1200,-0.363221,-0.215933,14.099080,27.389680,68.504772,13.556725,14.705459,14.009746,13.946786
sx1280_203k_nlos,SX1280,NLOS,203000,-6.0,50.0,1200,-0.015553,0.318812,14.381888,28.160065,48.136223,13.839456,14.913436,14.074108,14.545954
sx1280_203k_nlos,SX1280,NLOS,203000,0.0,1000.0,1200,-0.124912,-0.194531,7.174858,14.261971,23.906319,6.895299,7.466513,6.972887,7.090199
sx1280_203k_nlos,SX1280,NLOS,203000,0.0,250.0,1200,-0.035122,0.052836,7.226856,14.413334,23.690749,6.961118,7.536221,7.529003,7.187397
sx1280_203k_nlos,SX1280,NLOS,203000,0.0,3000.0,1200,-0.416160,-0.653395,6.964431,13.650661,21.994987,6.694335,7.228076,7.333993,7.102272
sx1280_203k_nlos,SX1280,NLOS,203000,0.0,400.0,1200,-0.384449,-0.398607,6.810732,13.403521,22.198998,6.538177,7.070038,6.999743,6.975896
sx1280_203k_nlos,SX1280,NLOS,203000,0.0,50.0,1200,-0.379236,-0.257427,7.014944,13.979289,21.701971,6.747668,7.289857,6.796962,7.040780
sx1280_203k_nlos,SX1280,NLOS,203000,12.0,1000.0,1200,-0.192094,-0.251779,1.813201,3.578762,6.072475,1.740809,1.885664,1.764987,1.772129
sx1280_203k_nlos,SX1280,NLOS,203000,12.0,250.0,1200,-0.287142,-0.228079,1.804729,3.546436,6.975265,1.729235,1.880545,1.781379,1.811709
sx1280_203k_nlos,SX1280,NLOS,203000,12.0,3000.0,1200,-0.310718,-0.342421,1.780270,3.596803,6.434449,1.709488,1.860337,1.945364,1.842398
sx1280_203k_nlos,SX1280,NLOS,203000,12.0,400.0,1200,-0.257705,-0.244471,1.690859,3.342128,6.528820,1.619158,1.758390,1.673645,1.727222
sx1280_203k_nlos,SX1280,NLOS,203000,12.0,50.0,1200,-0.340049,-0.240116,1.835534,3.645890,6.565242,1.763172,1.913628,1.832553,1.903204
sx1280_203k_nlos,SX1280,NLOS,203000,18.0,1000.0,1200,-0.256523,-0.263070,0.903519,1.866301,4.173970,0.865537,0.942108,0.925002,0.920375
sx1280_203k_nlos,SX1280,NLOS,203000,18.0,250.0,1200,-0.292750,-0.286663,0.915203,1.915361,3.071321,0.880052,0.951746,0.869617,0.892589
sx1280_203k_nlos,SX1280,NLOS,203000,18.0,3000.0,1200,-0.290751,-0.268457,0.916303,1.879807,3.037200,0.879295,0.951313,0.974275,0.948847
sx1280_203k_nlos,SX1280,NLOS,203000,18.0,400.0,1200,-0.272788,-0.266516,0.861566,1.788041,2.899265,0.826863,0.895183,0.872443,0.868685
sx1280_203k_nlos,SX1280,NLOS,203000,18.0,50.0,1200,-0.324566,-0.324226,0.896702,1.846476,4.176710,0.860558,0.933928,0.898055,0.915372
sx1280_203k_nlos,SX1280,NLOS,203000,25.0,1000.0,1200,-0.210961,-0.203923,0.393419,0.853200,1.504554,0.378120,0.409055,0.368634,0.387001
sx1280_203k_nlos,SX1280,NLOS,203000,25.0,250.0,1200,-0.300196,-0.294562,0.408964,1.006902,1.495699,0.392228,0.425056,0.417771,0.413774
sx1280_203k_nlos,SX1280,NLOS,203000,25.0,3000.0,1200,-0.322519,-0.302164,0.385844,0.957553,1.517979,0.369645,0.401290,0.369038,0.376309
sx1280_203k_nlos,SX1280,NLOS,203000,25.0,400.0,1200,-0.263694,-0.272122,0.381738,0.881335,1.457738,0.367370,0.396680,0.370083,0.380876
sx1280_203k_nlos,SX1280,NLOS,203000,25.0,50.0,1200,-0.327376,-0.318053,0.390303,0.977275,1.636509,0.375020,0.406613,0.382739,0.399276
sx1280_203k_nlos,SX1280,NLOS,203000,6.0,1000.0,1200,-0.064577,-0.129808,3.520720,6.913537,13.329808,3.365020,3.667858,3.599980,3.443230
sx1280_203k_nlos,SX1280,NLOS,203000,6.0,250.0,1200,-0.339971,-0.356663,3.593097,7.002786,12.100256,3.450345,3.736098,3.594025,3.669147
sx1280_203k_nlos,SX1280,NLOS,203000,6.0,3000.0,1200,-0.247848,-0.280410,3.566183,6.931904,15.662878,3.419404,3.696332,3.864829,3.649815
sx1280_203k_nlos,SX1280,NLOS,203000,6.0,400.0,1200,-0.285206,-0.200950,3.486967,6.982599,12.085160,3.342657,3.619952,3.421738,3.491898
sx1280_203k_nlos,SX1280,NLOS,203000,6.0,50.0,1200,-0.294332,-0.281587,3.513698,6.782133,11.068600,3.370193,3.661652,3.599690,3.559852
sx1280_406k_los,SX1280,LOS,406000,-12.0,1000.0,300,-1.153484,-1.074366,14.417637,27.972863,49.163805,13.316626,15.588090,15.027808,14.685325
sx1280_406k_los,SX1280,LOS,406000,-12.0,250.0,300,-1.364911,-1.590880,14.254481,29.406153,45.474393,13.109029,15.427913,14.323448,14.722318
sx1280_406k_los,SX1280,LOS,406000,-12.0,3000.0,300,-0.895312,-0.561734,14.081416,26.745604,42.622142,12.920905,15.130903,14.515926,14.411364
sx1280_406k_los,SX1280,LOS,406000,-12.0,400.0,300,1.161750,1.550703,14.156101,27.387633,48.211120,12.956709,15.564960,14.326699,13.837026
sx1280_406k_los,SX1280,LOS,406000,-12.0,50.0,300,0.493629,0.587939,14.422683,27.401172,46.697787,13.314145,15.535334,15.308474,15.031731
sx1280_406k_los,SX1280,LOS,406000,-20.0,1000.0,300,0.294919,0.773343,38.904042,75.736112,114.513549,35.777155,41.920160,37.759442,37.646143
sx1280_406k_los,SX1280,LOS,406000,-20.0,250.0,300,0.496983,-0.098178,34.834461,64.939776,90.244473,32.368854,37.189534,35.989497,35.313075
